06:27:43 | INFO     | log | ====== WebDriver manager ======
06:27:45 | INFO     | log | Get LATEST chromedriver version for google-chrome
06:27:45 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
06:27:45 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
06:27:45 | INFO     | log | Get LATEST chromedriver version for google-chrome
06:27:45 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
06:27:45 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
06:27:45 | INFO     | log | There is no [linux64] chromedriver "148.0.7778.167" for browser google-chrome "148.0.7778" in cache
06:27:45 | INFO     | log | Get LATEST chromedriver version for google-chrome
06:27:45 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
06:27:45 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
06:27:45 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
06:27:45 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/known-good-versions-with-downloads.json HTTP/1.1" 200 141746
06:27:45 | INFO     | log | WebDriver version 148.0.7778.167 selected
06:27:45 | INFO     | log | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip
06:27:45 | INFO     | log | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip
06:27:45 | DEBUG    | _new_conn | Starting new HTTPS connection (1): storage.googleapis.com:443
06:27:45 | DEBUG    | _make_request | https://storage.googleapis.com:443 "GET /chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip HTTP/1.1" 200 9956254
06:27:45 | INFO     | log | Driver downloading response is 200
06:27:45 | INFO     | log | Get LATEST chromedriver version for google-chrome
06:27:45 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
06:27:45 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
06:27:45 | INFO     | log | Driver has been saved in cache [/home/runner/.wdm/drivers/chromedriver/linux64/148.0.7778.167]
06:27:45 | DEBUG    | _binary_paths | Skipping Selenium Manager; path to chrome driver specified in Service class: /home/runner/.wdm/drivers/chromedriver/linux64/148.0.7778.167/chromedriver-linux64/chromedriver
06:27:45 | DEBUG    | _start_process | Started executable: `/home/runner/.wdm/drivers/chromedriver/linux64/148.0.7778.167/chromedriver-linux64/chromedriver` in a child process with pid: 2648 using 0 to output -3
06:27:45 | DEBUG    | execute | POST http://localhost:44253/session {'capabilities': {'firstMatch': [{}], 'alwaysMatch': {'browserName': 'chrome', 'pageLoadStrategy': <PageLoadStrategy.normal: 'normal'>, 'goog:chromeOptions': {'extensions': [], 'args': ['--headless=new', '--no-sandbox', '--disable-dev-shm-usage', '--disable-gpu', '--window-size=1920,1080', '--disable-extensions']}}}}
06:27:45 | DEBUG    | _new_conn | Starting new HTTP connection (1): localhost:44253
06:27:50 | DEBUG    | _make_request | http://localhost:44253 "POST /session HTTP/1.1" 200 0
