05:42:47 | INFO     | log | ====== WebDriver manager ======
05:42:48 | INFO     | log | Get LATEST chromedriver version for google-chrome
05:42:48 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
05:42:48 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
05:42:48 | INFO     | log | Get LATEST chromedriver version for google-chrome
05:42:48 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
05:42:48 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
05:42:48 | INFO     | log | There is no [linux64] chromedriver "148.0.7778.167" for browser google-chrome "148.0.7778" in cache
05:42:48 | INFO     | log | Get LATEST chromedriver version for google-chrome
05:42:48 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
05:42:48 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
05:42:48 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
05:42:48 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/known-good-versions-with-downloads.json HTTP/1.1" 200 141746
05:42:48 | INFO     | log | WebDriver version 148.0.7778.167 selected
05:42:48 | INFO     | log | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip
05:42:48 | INFO     | log | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip
05:42:48 | DEBUG    | _new_conn | Starting new HTTPS connection (1): storage.googleapis.com:443
05:42:48 | DEBUG    | _make_request | https://storage.googleapis.com:443 "GET /chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip HTTP/1.1" 200 9956254
05:42:48 | INFO     | log | Driver downloading response is 200
05:42:48 | INFO     | log | Get LATEST chromedriver version for google-chrome
05:42:48 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
05:42:48 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
