19:01:32 | INFO     | log | ====== WebDriver manager ======
19:01:33 | INFO     | log | Get LATEST chromedriver version for google-chrome
19:01:33 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
19:01:33 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
19:01:33 | INFO     | log | Get LATEST chromedriver version for google-chrome
19:01:33 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
19:01:33 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
19:01:33 | INFO     | log | There is no [linux64] chromedriver "147.0.7727.117" for browser google-chrome "147.0.7727" in cache
19:01:33 | INFO     | log | Get LATEST chromedriver version for google-chrome
19:01:33 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
19:01:33 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
19:01:33 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
19:01:33 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/known-good-versions-with-downloads.json HTTP/1.1" 200 140664
19:01:33 | INFO     | log | WebDriver version 147.0.7727.117 selected
19:01:33 | INFO     | log | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/linux64/chromedriver-linux64.zip
19:01:33 | INFO     | log | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/linux64/chromedriver-linux64.zip
19:01:33 | DEBUG    | _new_conn | Starting new HTTPS connection (1): storage.googleapis.com:443
19:01:33 | DEBUG    | _make_request | https://storage.googleapis.com:443 "GET /chrome-for-testing-public/147.0.7727.117/linux64/chromedriver-linux64.zip HTTP/1.1" 200 9928588
19:01:33 | INFO     | log | Driver downloading response is 200
19:01:33 | INFO     | log | Get LATEST chromedriver version for google-chrome
