18:07:07 | INFO     | log | ====== WebDriver manager ======
18:07:08 | INFO     | log | Get LATEST chromedriver version for google-chrome
18:07:08 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
18:07:08 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
18:07:08 | INFO     | log | Get LATEST chromedriver version for google-chrome
18:07:08 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
18:07:08 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
18:07:08 | INFO     | log | Driver [/home/runner/.wdm/drivers/chromedriver/linux64/147.0.7727.117/chromedriver-linux64/chromedriver] found in cache
18:07:08 | DEBUG    | _binary_paths | Skipping Selenium Manager; path to chrome driver specified in Service class: /home/runner/.wdm/drivers/chromedriver/linux64/147.0.7727.117/chromedriver-linux64/chromedriver
18:07:08 | DEBUG    | _start_process | Started executable: `/home/runner/.wdm/drivers/chromedriver/linux64/147.0.7727.117/chromedriver-linux64/chromedriver` in a child process with pid: 2996 using 0 to output -3
18:07:08 | DEBUG    | execute | POST http://localhost:58697/session {'capabilities': {'firstMatch': [{}], 'alwaysMatch': {'browserName': 'chrome', 'pageLoadStrategy': <PageLoadStrategy.normal: 'normal'>, 'goog:chromeOptions': {'extensions': [], 'args': ['--headless=new', '--no-sandbox', '--disable-dev-shm-usage', '--disable-gpu', '--window-size=1920,1080', '--disable-extensions']}}}}
18:07:08 | DEBUG    | _new_conn | Starting new HTTP connection (1): localhost:58697
18:07:08 | DEBUG    | _make_request | http://localhost:58697 "POST /session HTTP/1.1" 200 0
18:07:08 | DEBUG    | _request | Remote response: status=200 | data={"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"chrome","browserVersion":"147.0.7727.55","chrome":{"chromedriverVersion":"147.0.7727.117 (474cc805edd6b22006509896c910f6b6da2427ad-refs/branch-heads/7727_111@{#4})","userDataDir":"/tmp/org.chromium.Chromium.scoped_dir.0rdz39"},"fedcm:accounts":true,"goog:chromeOptions":{"debuggerAddress":"localhost:33349"},"goog:processID":3002,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"linux","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify","webauthn:extension:credBlob":true,"webauthn:extension:largeBlob":true,"webauthn:extension:minPinLength":true,"webauthn:extension:prf":true,"webauthn:virtualAuthenticators":true},"sessionId":"006256e3c72ac3ec61717fa1600d9f13"}} | headers=HTTPHeaderDict({'Content-Length': '882', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
18:07:08 | DEBUG    | _request | Finished Request
18:07:08 | DEBUG    | execute | POST http://localhost:58697/session/006256e3c72ac3ec61717fa1600d9f13/timeouts {'implicit': 0}
18:07:08 | DEBUG    | _make_request | http://localhost:58697 "POST /session/006256e3c72ac3ec61717fa1600d9f13/timeouts HTTP/1.1" 200 0
18:07:08 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
18:07:08 | DEBUG    | _request | Finished Request
18:07:08 | DEBUG    | open | Navigating to https://the-internet.herokuapp.com/login
18:07:08 | DEBUG    | execute | POST http://localhost:58697/session/006256e3c72ac3ec61717fa1600d9f13/url {'url': 'https://the-internet.herokuapp.com/login'}
18:07:08 | DEBUG    | _make_request | http://localhost:58697 "POST /session/006256e3c72ac3ec61717fa1600d9f13/url HTTP/1.1" 200 0
18:07:08 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
18:07:08 | DEBUG    | _request | Finished Request
18:07:08 | DEBUG    | execute | GET http://localhost:58697/session/006256e3c72ac3ec61717fa1600d9f13/title {}
18:07:08 | DEBUG    | _make_request | http://localhost:58697 "GET /session/006256e3c72ac3ec61717fa1600d9f13/title HTTP/1.1" 200 0
18:07:08 | DEBUG    | _request | Remote response: status=200 | data={"value":"The Internet"} | headers=HTTPHeaderDict({'Content-Length': '24', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
18:07:08 | DEBUG    | _request | Finished Request
18:07:08 | DEBUG    | execute | DELETE http://localhost:58697/session/006256e3c72ac3ec61717fa1600d9f13 {}
18:07:08 | DEBUG    | _make_request | http://localhost:58697 "DELETE /session/006256e3c72ac3ec61717fa1600d9f13 HTTP/1.1" 200 0
18:07:08 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
18:07:08 | DEBUG    | _request | Finished Request
