07:05:03 | INFO     | log | ====== WebDriver manager ======
07:05:05 | INFO     | log | Get LATEST chromedriver version for google-chrome
07:05:05 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
07:05:05 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16670
07:05:05 | INFO     | log | Get LATEST chromedriver version for google-chrome
07:05:05 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
07:05:05 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16670
07:05:05 | INFO     | log | There is no [linux64] chromedriver "148.0.7778.167" for browser google-chrome "148.0.7778" in cache
07:05:05 | INFO     | log | Get LATEST chromedriver version for google-chrome
07:05:05 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
07:05:05 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16670
07:05:05 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
07:05:05 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/known-good-versions-with-downloads.json HTTP/1.1" 200 141811
07:05:05 | INFO     | log | WebDriver version 148.0.7778.167 selected
07:05:05 | INFO     | log | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip
07:05:05 | INFO     | log | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip
07:05:05 | DEBUG    | _new_conn | Starting new HTTPS connection (1): storage.googleapis.com:443
07:05:05 | DEBUG    | _make_request | https://storage.googleapis.com:443 "GET /chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip HTTP/1.1" 200 9956254
07:05:05 | INFO     | log | Driver downloading response is 200
07:05:05 | INFO     | log | Get LATEST chromedriver version for google-chrome
07:05:05 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
07:05:05 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16670
07:05:05 | INFO     | log | Driver has been saved in cache [/home/runner/.wdm/drivers/chromedriver/linux64/148.0.7778.167]
07:05:05 | DEBUG    | _binary_paths | Skipping Selenium Manager; path to chrome driver specified in Service class: /home/runner/.wdm/drivers/chromedriver/linux64/148.0.7778.167/chromedriver-linux64/chromedriver
07:05:05 | DEBUG    | _start_process | Started executable: `/home/runner/.wdm/drivers/chromedriver/linux64/148.0.7778.167/chromedriver-linux64/chromedriver` in a child process with pid: 2820 using 0 to output -3
07:05:05 | DEBUG    | execute | POST http://localhost:40381/session {'capabilities': {'firstMatch': [{}], 'alwaysMatch': {'browserName': 'chrome', 'pageLoadStrategy': <PageLoadStrategy.normal: 'normal'>, 'goog:chromeOptions': {'extensions': [], 'args': ['--headless=new', '--no-sandbox', '--disable-dev-shm-usage', '--disable-gpu', '--window-size=1920,1080', '--disable-extensions']}}}}
07:05:05 | DEBUG    | _new_conn | Starting new HTTP connection (1): localhost:40381
07:05:10 | DEBUG    | _make_request | http://localhost:40381 "POST /session HTTP/1.1" 200 0
07:05:10 | DEBUG    | _request | Remote response: status=200 | data={"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"chrome","browserVersion":"148.0.7778.167","chrome":{"chromedriverVersion":"148.0.7778.167 (65db666ac2cf205fcc36db8bb5b9cd87f94808ac-refs/branch-heads/7778@{#2783})","userDataDir":"/tmp/org.chromium.Chromium.scoped_dir.FwkKYV"},"fedcm:accounts":true,"goog:chromeOptions":{"debuggerAddress":"localhost:45767"},"goog:processID":2826,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"linux","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify","webauthn:extension:credBlob":true,"webauthn:extension:largeBlob":true,"webauthn:extension:minPinLength":true,"webauthn:extension:prf":true,"webauthn:virtualAuthenticators":true},"sessionId":"1fba5b172210154444624242405def36"}} | headers=HTTPHeaderDict({'Content-Length': '882', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:05:10 | DEBUG    | _request | Finished Request
07:05:10 | DEBUG    | execute | POST http://localhost:40381/session/1fba5b172210154444624242405def36/timeouts {'implicit': 0}
07:05:10 | DEBUG    | _make_request | http://localhost:40381 "POST /session/1fba5b172210154444624242405def36/timeouts HTTP/1.1" 200 0
07:05:10 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:05:10 | DEBUG    | _request | Finished Request
07:05:10 | DEBUG    | open | Navigating to https://the-internet.herokuapp.com/login
07:05:10 | DEBUG    | execute | POST http://localhost:40381/session/1fba5b172210154444624242405def36/url {'url': 'https://the-internet.herokuapp.com/login'}
07:05:11 | DEBUG    | _make_request | http://localhost:40381 "POST /session/1fba5b172210154444624242405def36/url HTTP/1.1" 200 0
07:05:11 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:05:11 | DEBUG    | _request | Finished Request
07:05:11 | DEBUG    | execute | POST http://localhost:40381/session/1fba5b172210154444624242405def36/element {'using': 'css selector', 'value': '[id="username"]'}
07:05:11 | DEBUG    | _make_request | http://localhost:40381 "POST /session/1fba5b172210154444624242405def36/element HTTP/1.1" 200 0
07:05:11 | DEBUG    | _request | Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.04CB8DEFB088A28D2286978D9825D775.d.0C4FD922DDA0D2CC4A39C33A25929313.e.3"}} | headers=HTTPHeaderDict({'Content-Length': '125', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:05:11 | DEBUG    | _request | Finished Request
07:05:11 | DEBUG    | execute | POST http://localhost:40381/session/1fba5b172210154444624242405def36/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){/*\n\n Copyright The Closure Library Authors.\n ...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.04CB8DEFB088A28D2286978D9825D775.d.0C4FD922DDA0D2CC4A39C33A25929313.e.3'}]}
07:05:11 | DEBUG    | _make_request | http://localhost:40381 "POST /session/1fba5b172210154444624242405def36/execute/sync HTTP/1.1" 200 0
07:05:11 | DEBUG    | _request | Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:05:11 | DEBUG    | _request | Finished Request
07:05:11 | DEBUG    | execute | POST http://localhost:40381/session/1fba5b172210154444624242405def36/element/f.04CB8DEFB088A28D2286978D9825D775.d.0C4FD922DDA0D2CC4A39C33A25929313.e.3/clear {}
07:05:11 | DEBUG    | _make_request | http://localhost:40381 "POST /session/1fba5b172210154444624242405def36/element/f.04CB8DEFB088A28D2286978D9825D775.d.0C4FD922DDA0D2CC4A39C33A25929313.e.3/clear HTTP/1.1" 200 0
07:05:11 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:05:11 | DEBUG    | _request | Finished Request
07:05:11 | DEBUG    | execute | POST http://localhost:40381/session/1fba5b172210154444624242405def36/element/f.04CB8DEFB088A28D2286978D9825D775.d.0C4FD922DDA0D2CC4A39C33A25929313.e.3/value {'text': 'tomsmith', 'value': ['t', 'o', 'm', 's', 'm', 'i', 't', 'h']}
07:05:11 | DEBUG    | _make_request | http://localhost:40381 "POST /session/1fba5b172210154444624242405def36/element/f.04CB8DEFB088A28D2286978D9825D775.d.0C4FD922DDA0D2CC4A39C33A25929313.e.3/value HTTP/1.1" 200 0
07:05:11 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:05:11 | DEBUG    | _request | Finished Request
07:05:11 | DEBUG    | execute | POST http://localhost:40381/session/1fba5b172210154444624242405def36/element {'using': 'css selector', 'value': '[id="password"]'}
07:05:11 | DEBUG    | _make_request | http://localhost:40381 "POST /session/1fba5b172210154444624242405def36/element HTTP/1.1" 200 0
07:05:11 | DEBUG    | _request | Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.04CB8DEFB088A28D2286978D9825D775.d.0C4FD922DDA0D2CC4A39C33A25929313.e.4"}} | headers=HTTPHeaderDict({'Content-Length': '125', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:05:11 | DEBUG    | _request | Finished Request
