19:06:22 | INFO     | log | ====== WebDriver manager ======
19:06:23 | INFO     | log | Get LATEST chromedriver version for google-chrome
19:06:23 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
19:06:23 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
19:06:23 | INFO     | log | Get LATEST chromedriver version for google-chrome
19:06:23 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
19:06:23 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
19:06:23 | INFO     | log | There is no [linux64] chromedriver "147.0.7727.117" for browser google-chrome "147.0.7727" in cache
19:06:23 | INFO     | log | Get LATEST chromedriver version for google-chrome
19:06:23 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
19:06:23 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
19:06:23 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
19:06:24 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/known-good-versions-with-downloads.json HTTP/1.1" 200 140664
19:06:24 | INFO     | log | WebDriver version 147.0.7727.117 selected
19:06:24 | INFO     | log | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/linux64/chromedriver-linux64.zip
19:06:24 | INFO     | log | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/linux64/chromedriver-linux64.zip
19:06:24 | DEBUG    | _new_conn | Starting new HTTPS connection (1): storage.googleapis.com:443
19:06:24 | DEBUG    | _make_request | https://storage.googleapis.com:443 "GET /chrome-for-testing-public/147.0.7727.117/linux64/chromedriver-linux64.zip HTTP/1.1" 200 9928588
19:06:24 | INFO     | log | Driver downloading response is 200
19:06:24 | INFO     | log | Get LATEST chromedriver version for google-chrome
19:06:24 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
19:06:24 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
19:06:24 | INFO     | log | Driver has been saved in cache [/home/runner/.wdm/drivers/chromedriver/linux64/147.0.7727.117]
19:06:24 | DEBUG    | _binary_paths | Skipping Selenium Manager; path to chrome driver specified in Service class: /home/runner/.wdm/drivers/chromedriver/linux64/147.0.7727.117/chromedriver-linux64/chromedriver
19:06:24 | DEBUG    | _start_process | Started executable: `/home/runner/.wdm/drivers/chromedriver/linux64/147.0.7727.117/chromedriver-linux64/chromedriver` in a child process with pid: 2623 using 0 to output -3
19:06:24 | DEBUG    | execute | POST http://localhost:39375/session {'capabilities': {'firstMatch': [{}], 'alwaysMatch': {'browserName': 'chrome', 'pageLoadStrategy': <PageLoadStrategy.normal: 'normal'>, 'goog:chromeOptions': {'extensions': [], 'args': ['--headless=new', '--no-sandbox', '--disable-dev-shm-usage', '--disable-gpu', '--window-size=1920,1080', '--disable-extensions']}}}}
19:06:24 | DEBUG    | _new_conn | Starting new HTTP connection (1): localhost:39375
19:06:27 | DEBUG    | _make_request | http://localhost:39375 "POST /session HTTP/1.1" 200 0
19:06:27 | DEBUG    | _request | Remote response: status=200 | data={"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"chrome","browserVersion":"147.0.7727.55","chrome":{"chromedriverVersion":"147.0.7727.117 (474cc805edd6b22006509896c910f6b6da2427ad-refs/branch-heads/7727_111@{#4})","userDataDir":"/tmp/org.chromium.Chromium.scoped_dir.ESBFKX"},"fedcm:accounts":true,"goog:chromeOptions":{"debuggerAddress":"localhost:34069"},"goog:processID":2629,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"linux","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify","webauthn:extension:credBlob":true,"webauthn:extension:largeBlob":true,"webauthn:extension:minPinLength":true,"webauthn:extension:prf":true,"webauthn:virtualAuthenticators":true},"sessionId":"c89d8c18c1346b2b85c053adc41e8edb"}} | headers=HTTPHeaderDict({'Content-Length': '882', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
19:06:27 | DEBUG    | _request | Finished Request
19:06:27 | DEBUG    | execute | POST http://localhost:39375/session/c89d8c18c1346b2b85c053adc41e8edb/timeouts {'implicit': 0}
19:06:27 | DEBUG    | _make_request | http://localhost:39375 "POST /session/c89d8c18c1346b2b85c053adc41e8edb/timeouts HTTP/1.1" 200 0
19:06:27 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
19:06:27 | DEBUG    | _request | Finished Request
19:06:27 | DEBUG    | open | Navigating to https://the-internet.herokuapp.com/login
19:06:27 | DEBUG    | execute | POST http://localhost:39375/session/c89d8c18c1346b2b85c053adc41e8edb/url {'url': 'https://the-internet.herokuapp.com/login'}
19:06:28 | DEBUG    | _make_request | http://localhost:39375 "POST /session/c89d8c18c1346b2b85c053adc41e8edb/url HTTP/1.1" 200 0
19:06:28 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
19:06:28 | DEBUG    | _request | Finished Request
19:06:28 | DEBUG    | execute | POST http://localhost:39375/session/c89d8c18c1346b2b85c053adc41e8edb/element {'using': 'css selector', 'value': '[id="username"]'}
19:06:28 | DEBUG    | _make_request | http://localhost:39375 "POST /session/c89d8c18c1346b2b85c053adc41e8edb/element HTTP/1.1" 200 0
19:06:28 | DEBUG    | _request | Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.4"}} | headers=HTTPHeaderDict({'Content-Length': '125', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
19:06:28 | DEBUG    | _request | Finished Request
19:06:28 | DEBUG    | execute | POST http://localhost:39375/session/c89d8c18c1346b2b85c053adc41e8edb/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){/*\n\n Copyright The Closure Library Authors.\n ...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.4'}]}
19:06:28 | DEBUG    | _make_request | http://localhost:39375 "POST /session/c89d8c18c1346b2b85c053adc41e8edb/execute/sync HTTP/1.1" 200 0
19:06:28 | DEBUG    | _request | Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
19:06:28 | DEBUG    | _request | Finished Request
19:06:28 | DEBUG    | execute | POST http://localhost:39375/session/c89d8c18c1346b2b85c053adc41e8edb/element/f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.4/clear {}
19:06:28 | DEBUG    | _make_request | http://localhost:39375 "POST /session/c89d8c18c1346b2b85c053adc41e8edb/element/f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.4/clear HTTP/1.1" 200 0
19:06:28 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
19:06:28 | DEBUG    | _request | Finished Request
19:06:28 | DEBUG    | execute | POST http://localhost:39375/session/c89d8c18c1346b2b85c053adc41e8edb/element/f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.4/value {'text': 'tomsmith', 'value': ['t', 'o', 'm', 's', 'm', 'i', 't', 'h']}
19:06:28 | DEBUG    | _make_request | http://localhost:39375 "POST /session/c89d8c18c1346b2b85c053adc41e8edb/element/f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.4/value HTTP/1.1" 200 0
19:06:28 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
19:06:28 | DEBUG    | _request | Finished Request
19:06:28 | DEBUG    | execute | POST http://localhost:39375/session/c89d8c18c1346b2b85c053adc41e8edb/element {'using': 'css selector', 'value': '[id="password"]'}
19:06:28 | DEBUG    | _make_request | http://localhost:39375 "POST /session/c89d8c18c1346b2b85c053adc41e8edb/element HTTP/1.1" 200 0
19:06:28 | DEBUG    | _request | Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.5"}} | headers=HTTPHeaderDict({'Content-Length': '125', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
19:06:28 | DEBUG    | _request | Finished Request
19:06:28 | DEBUG    | execute | POST http://localhost:39375/session/c89d8c18c1346b2b85c053adc41e8edb/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){/*\n\n Copyright The Closure Library Authors.\n ...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.5'}]}
19:06:28 | DEBUG    | _make_request | http://localhost:39375 "POST /session/c89d8c18c1346b2b85c053adc41e8edb/execute/sync HTTP/1.1" 200 0
19:06:28 | DEBUG    | _request | Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
19:06:28 | DEBUG    | _request | Finished Request
19:06:28 | DEBUG    | execute | POST http://localhost:39375/session/c89d8c18c1346b2b85c053adc41e8edb/element/f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.5/clear {}
19:06:28 | DEBUG    | _make_request | http://localhost:39375 "POST /session/c89d8c18c1346b2b85c053adc41e8edb/element/f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.5/clear HTTP/1.1" 200 0
19:06:28 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
19:06:28 | DEBUG    | _request | Finished Request
19:06:28 | DEBUG    | execute | POST http://localhost:39375/session/c89d8c18c1346b2b85c053adc41e8edb/element/f.F6A5976EEFB8E9555D170D0966ED634C.d.ECD935B275F3EA6B505360D09F92C155.e.5/value {'text': 'SuperSecretPassword!', 'value': ['S', 'u', 'p', 'e', 'r', 'S', 'e', 'c', 'r', 'e', 't', 'P', 'a', 's', 's', 'w', 'o', 'r', 'd', '!']}
