23:38:45 | INFO     | log | ====== WebDriver manager ======
23:38:46 | INFO     | log | Get LATEST chromedriver version for google-chrome
23:38:46 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
23:38:46 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
23:38:46 | INFO     | log | Get LATEST chromedriver version for google-chrome
23:38:46 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
23:38:46 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
23:38:46 | INFO     | log | There is no [linux64] chromedriver "147.0.7727.117" for browser google-chrome "147.0.7727" in cache
23:38:46 | INFO     | log | Get LATEST chromedriver version for google-chrome
23:38:46 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
23:38:46 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
23:38:46 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
23:38:46 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/known-good-versions-with-downloads.json HTTP/1.1" 200 140664
23:38:46 | INFO     | log | WebDriver version 147.0.7727.117 selected
23:38:46 | INFO     | log | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/linux64/chromedriver-linux64.zip
23:38:46 | INFO     | log | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/147.0.7727.117/linux64/chromedriver-linux64.zip
23:38:46 | DEBUG    | _new_conn | Starting new HTTPS connection (1): storage.googleapis.com:443
23:38:46 | DEBUG    | _make_request | https://storage.googleapis.com:443 "GET /chrome-for-testing-public/147.0.7727.117/linux64/chromedriver-linux64.zip HTTP/1.1" 200 9928588
23:38:46 | INFO     | log | Driver downloading response is 200
23:38:46 | INFO     | log | Get LATEST chromedriver version for google-chrome
23:38:46 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
23:38:47 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16534
23:38:47 | INFO     | log | Driver has been saved in cache [/home/runner/.wdm/drivers/chromedriver/linux64/147.0.7727.117]
23:38:47 | DEBUG    | _binary_paths | Skipping Selenium Manager; path to chrome driver specified in Service class: /home/runner/.wdm/drivers/chromedriver/linux64/147.0.7727.117/chromedriver-linux64/chromedriver
23:38:47 | DEBUG    | _start_process | Started executable: `/home/runner/.wdm/drivers/chromedriver/linux64/147.0.7727.117/chromedriver-linux64/chromedriver` in a child process with pid: 2616 using 0 to output -3
23:38:47 | DEBUG    | execute | POST http://localhost:41517/session {'capabilities': {'firstMatch': [{}], 'alwaysMatch': {'browserName': 'chrome', 'pageLoadStrategy': <PageLoadStrategy.normal: 'normal'>, 'goog:chromeOptions': {'extensions': [], 'args': ['--headless=new', '--no-sandbox', '--disable-dev-shm-usage', '--disable-gpu', '--window-size=1920,1080', '--disable-extensions']}}}}
23:38:47 | DEBUG    | _new_conn | Starting new HTTP connection (1): localhost:41517
23:38:52 | DEBUG    | _make_request | http://localhost:41517 "POST /session HTTP/1.1" 200 0
23:38:52 | DEBUG    | _request | Remote response: status=200 | data={"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"chrome","browserVersion":"147.0.7727.55","chrome":{"chromedriverVersion":"147.0.7727.117 (474cc805edd6b22006509896c910f6b6da2427ad-refs/branch-heads/7727_111@{#4})","userDataDir":"/tmp/org.chromium.Chromium.scoped_dir.7zDBIi"},"fedcm:accounts":true,"goog:chromeOptions":{"debuggerAddress":"localhost:33073"},"goog:processID":2622,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"linux","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify","webauthn:extension:credBlob":true,"webauthn:extension:largeBlob":true,"webauthn:extension:minPinLength":true,"webauthn:extension:prf":true,"webauthn:virtualAuthenticators":true},"sessionId":"300a2d13c9e607eead2916ce2747a2e5"}} | headers=HTTPHeaderDict({'Content-Length': '882', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
23:38:52 | DEBUG    | _request | Finished Request
23:38:52 | DEBUG    | execute | POST http://localhost:41517/session/300a2d13c9e607eead2916ce2747a2e5/timeouts {'implicit': 0}
23:38:52 | DEBUG    | _make_request | http://localhost:41517 "POST /session/300a2d13c9e607eead2916ce2747a2e5/timeouts HTTP/1.1" 200 0
23:38:52 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
23:38:52 | DEBUG    | _request | Finished Request
23:38:52 | DEBUG    | open | Navigating to https://the-internet.herokuapp.com/login
23:38:52 | DEBUG    | execute | POST http://localhost:41517/session/300a2d13c9e607eead2916ce2747a2e5/url {'url': 'https://the-internet.herokuapp.com/login'}
23:38:53 | DEBUG    | _make_request | http://localhost:41517 "POST /session/300a2d13c9e607eead2916ce2747a2e5/url HTTP/1.1" 200 0
23:38:53 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
23:38:53 | DEBUG    | _request | Finished Request
23:38:53 | DEBUG    | execute | POST http://localhost:41517/session/300a2d13c9e607eead2916ce2747a2e5/element {'using': 'css selector', 'value': '[id="username"]'}
