07:30:59 | INFO     | log | ====== WebDriver manager ======
07:31:01 | INFO     | log | Get LATEST chromedriver version for google-chrome
07:31:01 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
07:31:01 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
07:31:01 | INFO     | log | Get LATEST chromedriver version for google-chrome
07:31:01 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
07:31:01 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
07:31:01 | INFO     | log | There is no [linux64] chromedriver "148.0.7778.167" for browser google-chrome "148.0.7778" in cache
07:31:01 | INFO     | log | Get LATEST chromedriver version for google-chrome
07:31:01 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
07:31:01 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
07:31:01 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
07:31:01 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/known-good-versions-with-downloads.json HTTP/1.1" 200 141746
07:31:01 | INFO     | log | WebDriver version 148.0.7778.167 selected
07:31:01 | INFO     | log | Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip
07:31:01 | INFO     | log | About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip
07:31:01 | DEBUG    | _new_conn | Starting new HTTPS connection (1): storage.googleapis.com:443
07:31:02 | DEBUG    | _make_request | https://storage.googleapis.com:443 "GET /chrome-for-testing-public/148.0.7778.167/linux64/chromedriver-linux64.zip HTTP/1.1" 200 9956254
07:31:02 | INFO     | log | Driver downloading response is 200
07:31:02 | INFO     | log | Get LATEST chromedriver version for google-chrome
07:31:02 | DEBUG    | _new_conn | Starting new HTTPS connection (1): googlechromelabs.github.io:443
07:31:02 | DEBUG    | _make_request | https://googlechromelabs.github.io:443 "GET /chrome-for-testing/latest-patch-versions-per-build.json HTTP/1.1" 200 16662
07:31:02 | INFO     | log | Driver has been saved in cache [/home/runner/.wdm/drivers/chromedriver/linux64/148.0.7778.167]
07:31:02 | DEBUG    | _binary_paths | Skipping Selenium Manager; path to chrome driver specified in Service class: /home/runner/.wdm/drivers/chromedriver/linux64/148.0.7778.167/chromedriver-linux64/chromedriver
07:31:02 | DEBUG    | _start_process | Started executable: `/home/runner/.wdm/drivers/chromedriver/linux64/148.0.7778.167/chromedriver-linux64/chromedriver` in a child process with pid: 2590 using 0 to output -3
07:31:02 | DEBUG    | execute | POST http://localhost:60621/session {'capabilities': {'firstMatch': [{}], 'alwaysMatch': {'browserName': 'chrome', 'pageLoadStrategy': <PageLoadStrategy.normal: 'normal'>, 'goog:chromeOptions': {'extensions': [], 'args': ['--headless=new', '--no-sandbox', '--disable-dev-shm-usage', '--disable-gpu', '--window-size=1920,1080', '--disable-extensions']}}}}
07:31:02 | DEBUG    | _new_conn | Starting new HTTP connection (1): localhost:60621
07:31:07 | DEBUG    | _make_request | http://localhost:60621 "POST /session HTTP/1.1" 200 0
07:31:07 | DEBUG    | _request | Remote response: status=200 | data={"value":{"capabilities":{"acceptInsecureCerts":false,"browserName":"chrome","browserVersion":"148.0.7778.167","chrome":{"chromedriverVersion":"148.0.7778.167 (65db666ac2cf205fcc36db8bb5b9cd87f94808ac-refs/branch-heads/7778@{#2783})","userDataDir":"/tmp/org.chromium.Chromium.scoped_dir.XjsDf3"},"fedcm:accounts":true,"goog:chromeOptions":{"debuggerAddress":"localhost:42351"},"goog:processID":2596,"networkConnectionEnabled":false,"pageLoadStrategy":"normal","platformName":"linux","proxy":{},"setWindowRect":true,"strictFileInteractability":false,"timeouts":{"implicit":0,"pageLoad":300000,"script":30000},"unhandledPromptBehavior":"dismiss and notify","webauthn:extension:credBlob":true,"webauthn:extension:largeBlob":true,"webauthn:extension:minPinLength":true,"webauthn:extension:prf":true,"webauthn:virtualAuthenticators":true},"sessionId":"7db645f90f15da9f8c63749408071ebf"}} | headers=HTTPHeaderDict({'Content-Length': '882', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:07 | DEBUG    | _request | Finished Request
07:31:07 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/timeouts {'implicit': 0}
07:31:07 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/timeouts HTTP/1.1" 200 0
07:31:07 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:07 | DEBUG    | _request | Finished Request
07:31:07 | DEBUG    | open | Navigating to https://the-internet.herokuapp.com/login
07:31:07 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/url {'url': 'https://the-internet.herokuapp.com/login'}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/url HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/element {'using': 'css selector', 'value': '[id="username"]'}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/element HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.4"}} | headers=HTTPHeaderDict({'Content-Length': '125', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){/*\n\n Copyright The Closure Library Authors.\n ...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.4'}]}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/execute/sync HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.4/clear {}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.4/clear HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.4/value {'text': 'tomsmith', 'value': ['t', 'o', 'm', 's', 'm', 'i', 't', 'h']}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.4/value HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/element {'using': 'css selector', 'value': '[id="password"]'}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/element HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.5"}} | headers=HTTPHeaderDict({'Content-Length': '125', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){/*\n\n Copyright The Closure Library Authors.\n ...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.5'}]}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/execute/sync HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.5/clear {}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.5/clear HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.5/value {'text': 'SuperSecretPassword!', 'value': ['S', 'u', 'p', 'e', 'r', 'S', 'e', 'c', 'r', 'e', 't', 'P', 'a', 's', 's', 'w', 'o', 'r', 'd', '!']}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.5/value HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/element {'using': 'css selector', 'value': "button[type='submit']"}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/element HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":{"element-6066-11e4-a52e-4f735466cecf":"f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.6"}} | headers=HTTPHeaderDict({'Content-Length': '125', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/execute/sync {'script': '/* isDisplayed */return (function(){return (function(){/*\n\n Copyright The Closure Library Authors.\n ...', 'args': [{'element-6066-11e4-a52e-4f735466cecf': 'f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.6'}]}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/execute/sync HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | GET http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.6/enabled {}
07:31:08 | DEBUG    | _make_request | http://localhost:60621 "GET /session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.6/enabled HTTP/1.1" 200 0
07:31:08 | DEBUG    | _request | Remote response: status=200 | data={"value":true} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:08 | DEBUG    | _request | Finished Request
07:31:08 | DEBUG    | execute | POST http://localhost:60621/session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.6/click {}
07:31:09 | DEBUG    | _make_request | http://localhost:60621 "POST /session/7db645f90f15da9f8c63749408071ebf/element/f.355B01188E2FEEBE153527498DB1E4B3.d.1ACFA4377BB7D86A0B23B0FC8A0CAE72.e.6/click HTTP/1.1" 200 0
07:31:09 | DEBUG    | _request | Remote response: status=200 | data={"value":null} | headers=HTTPHeaderDict({'Content-Length': '14', 'Content-Type': 'application/json; charset=utf-8', 'cache-control': 'no-cache'})
07:31:09 | DEBUG    | _request | Finished Request
