"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","Add pet with 'sold' status persists the status","tests.api","2026-05-06","passed","2026-05-06","TestAddPet","test_pets","",""
"findByStatus should return a non-empty list for every valid status.","3","findByStatus returns a list for status 'sold'","tests.api","2026-05-06","passed","2026-05-06","TestFindByStatus","test_pets","",""
"Simulate a user finding an available pet and purchasing it (→ sold).","30","Available pet can be purchased and status changes to sold","tests.e2e","2026-05-06","passed","2026-05-06","TestPetAdoptionJourney","test_pet_lifecycle","",""
"A pet should no longer be found after deletion.","9","Deleted pet can no longer be found","tests.api","2026-05-06","passed","2026-05-06","TestDeletePet","test_pets","",""
"A pet should be readable and updatable after creation, then gone after deletion.","33","Pet can be created, read, updated, and deleted in sequence","tests.integration","2026-05-06","passed","2026-05-06","TestPetLifecycleIntegration","test_pets","",""
"After login and logout the user should be back on the login page.","507","Logout after login returns to the login page","tests.ui","2026-05-06","passed","2026-05-06","TestLoginUi","UI","",""
"Adding a pet should return the created pet with an id.","8","Add pet returns created pet with id, name, and status","tests.api","2026-05-06","passed","2026-05-06","TestAddPet","test_pets","",""
"Every pet returned for 'available' should have status == 'available'.","3","All pets returned for 'available' have status 'available'","tests.api","2026-05-06","passed","2026-05-06","TestFindByStatus","test_pets","",""
"Pets created with the same status should all appear in findByStatus.","29","Multiple pets with the same status all appear in findByStatus","tests.integration","2026-05-06","passed","2026-05-06","TestPetLifecycleIntegration","test_pets","",""
"A valid login request should return HTTP 200 with a session token.","4","Valid credentials return HTTP 200 with session token","tests.api","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"findByStatus should return a non-empty list for every valid status.","4","findByStatus returns a list for status 'available'","tests.api","2026-05-06","passed","2026-05-06","TestFindByStatus","test_pets","",""
"The login response JSON should contain a session token.","3","Login response JSON contains a session token","tests.api","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"Fetching a known pet by id should return the correct record.","3","Fetching an existing pet by id returns the correct record","tests.api","2026-05-06","passed","2026-05-06","TestGetPet","test_pets","",""
"A logged-in user should be able to create and retrieve pets.","11","Authenticated user can add and retrieve a pet","tests.integration","2026-05-06","passed","2026-05-06","TestUserPetIntegration","test_pets","",""
"The login response should have the expected JSON structure.","2","Login response has expected JSON structure","tests.api","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"findByStatus should return a non-empty list for every valid status.","3","findByStatus returns a list for status 'pending'","tests.api","2026-05-06","passed","2026-05-06","TestFindByStatus","test_pets","",""
"Updating a pet's name should persist the change.","5","Updating a pet's name persists the change","tests.api","2026-05-06","passed","2026-05-06","TestUpdatePet","test_pets","",""
"A newly registered user should be able to log in and then log out.","23","New user can register, log in, view profile, and log out","tests.e2e","2026-05-06","passed","2026-05-06","TestUserRegistrationJourney","test_pet_lifecycle","",""
"After login() the client should report is_logged_in() == True.","3","Login sets authenticated state on client","tests.api","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"Logging in with valid credentials should show the secure area message.

        This mirrors tests/api/test_login.py::TestLogin::test_login_sets_authenticated_state
        using the identical assertion style.
        ","368","Valid credentials show the secure area message","tests.ui","2026-05-06","passed","2026-05-06","TestLoginUi","UI","",""
"Fetching a pet with an ID outside the integer range should fail.","3","Fetching an out-of-range pet id returns a client error","tests.api","2026-05-06","passed","2026-05-06","TestGetPet","test_pets","",""
"Calling logout() after login() should clear the session state.","6","Logout after login clears the session","tests.api","2026-05-06","passed","2026-05-06","TestLogin","test_login","",""
"The login page should present username and password inputs.","19","Login page has username and password input fields","tests.ui","2026-05-06","passed","2026-05-06","TestLoginUi","UI","",""
"","5","Updating a pet's status persists the change","tests.api","2026-05-06","passed","2026-05-06","TestUpdatePet","test_pets","",""
"Fetching an id that does not exist should result in a 404 response.","4","Fetching a non-existent pet id returns 404","tests.api","2026-05-06","passed","2026-05-06","TestGetPet","test_pets","",""
"Logging in with invalid credentials should show an error message.","371","Invalid credentials show an error message","tests.ui","2026-05-06","passed","2026-05-06","TestLoginUi","UI","",""
"The login page title should be 'The Internet'.","5","Login page title is 'The Internet'","tests.ui","2026-05-06","passed","2026-05-06","TestLoginUi","UI","",""
